==============================================================================================================
LINKEDIN COMPANY POSTS - COMPETITIVE SNAPSHOT
Captured: 2026-09-09 (Europe/Copenhagen) | Source: LinkedIn company 'Posts' tab, view = All
Up to 50 most recent posts per company (fewer where the page had fewer).

Columns:  #  |  AGE (relative, as LinkedIn showed it)  |  TYPE  |  REACTIONS  |  COMMENTS  |  REPOSTS  |  TITLE
TITLE = opening line of the post copy, truncated (LinkedIn posts have no formal title field).
TYPE   = Image, Multi-image, Carousel (PDF/document swipe), Video, Poll, Event, Link/Article, Text, Repost
==============================================================================================================

SUMMARY - ENGAGEMENT ACROSS CAPTURED POSTS
--------------------------------------------------------------------------------------------------------------
COMPANY                                     POSTS  REACTIONS  COMMENTS  REPOSTS  AVG/POST
Stripe                                         50      19127      1445     1318     437.8
Incedo Inc                                     50       4679       128      103      98.2
Continia Software A/S                          50       3562        91      124      75.5
Yavrio                                         50       3073       315       65      69.1
SignUp Software                                50       2301        60      312      53.5
Stampli                                        50       1388        46      382      36.3
Truvio                                         50       1350        34      162      30.9
Medius                                         50       1370        31      136      30.7
Rillion                                        50       1300       138       95      30.7
Tipalti                                        50       1301        52       50      28.1
Qvalia                                         15        313        15       38      24.4
Dooap                                          50       1015        72       89      23.5
AMC Banking                                    22        287        12       16      14.3
B2Brouter                                      50        425        37       79      10.8
Equisys (Zetadocs)                             39        168         1       85       6.5
Fidesic                                        50        253        32       21       6.1
--------------------------------------------------------------------------------------------------------------


==============================================================================================================
POST-BY-POST DETAIL
==============================================================================================================

--------------------------------------------------------------------------------------------------------------
TRUVIO
https://www.linkedin.com/company/truvio-official/
Posts captured: 50   |   Total reactions: 1350   Comments: 34   Reposts: 162   |   Avg engagement/post: 30.9
 43  9mo   Image            34     1     2  AI is changing how finance teams handle Accounts Payable. From reducing manual data...
 44  9mo   Image            90     3     1  We're live at Days of Knowledge - ANZ 2025! AI is everywhere today, but the...
 45  9mo   Image            21     0     4  Upcoming German Webinar! Join SignUp Software on 16...
 46  9mo   Image            27     0     5  Tomorrow we are hosting a 30-minute live session on how to automate your AP process...
 47  9mo   Image            11     0     1  Less than a week to go! Meet us at ANZ BC Day 2025! We're excited to be a...
 48  9mo   Image           115     1    12  Big News! SignUp Software featured in Microsoft's announcement of the new Model...
 49  9mo   Image            35     0     5  Stop Clicking and Start Automating Your AP...
 50  10mo  Image            53     1     5  Czesc z Poznania! We're live at Directions EMEA 2025, surrounded by amazing...

--------------------------------------------------------------------------------------------------------------
FIDESIC
https://www.linkedin.com/company/fidesic/
Posts captured: 50   |   Total reactions: 253   Comments: 32   Reposts: 21   |   Avg engagement/post: 6.1
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  5d    Image             0     0     0  Your AP automation was supposed to eliminate manual work. Instead your team is still...
  2  6d    Image             7     2     1  Rally Day is coming to Nashville on Sunday, October 11, a Knights of GP event built...
  3  1w    Image             1     0     0  Checks are still the top target for payment fraud according to the 2026 AFP Payments...
  4  1w    Image             0     0     0  #MySummitNA
  5  1w    Image             1     0     0  How to Spot AP Bottlenecks Before Growth Stalls. Warning signs your AP process won't...
  6  1w    Image             1     0     0  Cash flow is a fact. Profit is an opinion. #WednesdayWisdom #AccountsPayable
  7  2w    Image             1     0     0  Did you know 8 days is how long the median finance team spends closing the books...
  8  3w    Image             2     0     1  Ready to rock 'n' roll in Nashville for Dynamic Communities Summit NA 2026? We're...
  9  1w    Link/Article      0     0     0  In this post highlight some of the common bottlenecks that hinder scalability so you...
 10  1w    Link/Article      2     0     0  Like any large financial data migration, you can expect a migration from Dynamics GP...
 11  3w    Image             0     0     0  #LoveFriday #LoveAutomation
 12  1w    Link/Article      1     0     0  Payment behavior directly affects cash flow, supplier relationships, and access to...
 13  1mo   Link/Article      7     0     1  Fidesic has been named Best Of AP Automation Tools for Dynamics ERP in 2026 by ERP...
 14  3w    Image             0     0     0  "Discipline in accounts payable is discipline in cash flow." #WednesdayWisdom #APTeam
 15  2w    Link/Article      2     0     0  This post removes some of the fear around GP end of support and offers practical...
 16  4w    Image             6     2     1  It's comin' up quick! Looking forward to seeing everyone in Nashville for...
 17  1mo   Text              1     0     0  Fidesic is continually renewing focus on building trust in the Dynamics Community....
 18  2mo   Multi-image       1     0     0  Unsurprisingly, not all AI projects are a success. At Fidesic, we mitigate your risk...
 19  3w    Link/Article      1     0     0  Fidesic has been recognized as a High Performer on G2, and the team could not be...
 20  3w    Link/Article      0     0     0  This post covers what BC handles natively for PO matching and AP automation, where...
 21  4w    Link/Article      3     0     0  Is running accounts payable out of Business Central missing something? AP getting in...
 22  1mo   Video             7     3     0  Still on Dynamics GP? Fidesic has deployable AI agents for your Accounts Payable...
 23  1mo   Video            17     8     2  Kevin Pritchard talks about why we're pumped to part of Knights of GP and what that...
 24  1mo   Video             6     1     1  Fidesic delivers value beyond AP automation. Don't get us wrong, our software is the...
 25  2mo   Image            17     2     3  Fidesic has officially joined Knights of GP, and we could not be more excited about...
 26  2mo   Video             9     1     2  Ninety-five percent (95%) of enterprise generative AI pilots fail to deliver any...
 27  4mo   Multi-image       5     0     1  Last day of Directions NA. Last Fidesic Yeti tumbler! Who's going to get it?...
 28  4mo   Multi-image       2     0     0  Attending Directions NA? Stop by booth E14 and pick up some cozy socks!...
 29  1mo   Image             0     0     0  Remittance vs. Bank Transfer: Key Differences. These two terms are sometimes used...
 30  1mo   Image             0     0     0  "Every invoice tells a story. Make sure yours check out." #WednesdayWisdom #AP
 31  1mo   Link/Article      7     0     1  Fidesic has been named Best Of AP Automation Tools for Dynamics ERP in 2026 by ERP...
 32  1mo   Link/Article      0     0     0  Fidesic is the strongest AP automation choice for organizations running Microsoft...
 33  5mo   Text              2     1     0  There is no secret path to a frictionless ERP migration. But having the right AP...
 34  1mo   Link/Article      0     0     0  In this post we are going to assume that you know the pain points of manual paper...
 35  1mo   Link/Article      2     0     0  The right AP automation software enables small accounting departments to manage...
 36  5mo   Carousel          2     1     1  Accounts Payable Stats Worth Watching in 2026. Do these numbers hold any interest...
 37  4mo   Image            35     5     1  I'm a little late to the Linkedin party on this one, but I did want to recap my time...
 38  4mo   Image            55     3     1  Who to see at #DirectionsNA? Here's 4 ideas: -Data Courage for advanced analytics...
 39  6mo   Multi-image       4     0     1  Trying to decide what your next ERP platform will be after Microsoft Dynamics GP?...
 40  4mo   Image            18     0     2  Stop by the booth and say Hi! Booth E14. #MyDirectionsNA #BusinessCentral
 41  1mo   Link/Article      0     0     0  Trust isn't something you can claim. It's something you have to earn, over and over,...
 42  7mo   Multi-image       3     0     0  For startups/SMBs seeking a fully managed AP process w/ minimal internal work,...
 43  4mo   Image            21     3     1  It's hard to believe we are almost two weeks away from #DirectionsNA. I'm looking...
 44  1mo   Link/Article      1     0     0  If you are wondering how to set up your purchase order matching, keep in mind, most...
 45  2mo   Link/Article      0     0     0  Modern AI-based invoice capture uses machine learning models trained on millions of...
 46  2mo   Link/Article      1     0     0  Fidesic is the strongest AP automation choice for organizations running Microsoft...
 47  1mo   Image             1     0     0  What separates a successful agentic accounting project from one that fails to...
 48  1mo   Image             1     0     0  #FunFactFriday ACH is the largest single B2B payment method by transaction value and...
 49  2mo   Link/Article      0     0     0  Let's talk about something that's been hiding in plain sight in Dynamics GP that...
 50  1mo   Image             0     0     0  Some strategies sit firmly within AP's direct control. These include capturing early...

--------------------------------------------------------------------------------------------------------------
TIPALTI
https://www.linkedin.com/company/tipalti/
Posts captured: 50   |   Total reactions: 1301   Comments: 52   Reposts: 50   |   Avg engagement/post: 28.1
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  2h    Image             2     0     0  Arthur Laykin studied philosophy at Tel Aviv University, took a part-time job at the...
  2  1d    Image             2     0     0  Scaling globally exposes every crack in your financial infrastructure before it...
  3  5d    Image             3     0     0  Chasing down W-9s is nobody's idea of a good time. Tipalti's Tax Form Scan Agent...
  4  4d    Multi-image      76     4     3  Take us out to the ball game! The Tipalti Foster City team gathered their popcorn...
  5  5d    Multi-image      49     2     1  The Tipalti team was at the World Finance Forum in London this week. Travis Hughson,...
  6  1w    Image             4     1     0  Our E-commerce playbook is here! As E-commerce grows, AP complexity grows with it....
  7  1w    Carousel          6     0     0  Custom Ink was processing 1,260 invoices a month across four entities with a team...
  8  6d    Video             8     1     1  Getting buy-in for finance automation is harder than it should be. We've created a...
  9  1w    Text              4     0     0  Tipalti Expenses automates approvals, reconciliation, and reimbursements to simplify...
 10  2w    Carousel          3     1     1  League One Volleyball (LOVB) felt stuck with their legacy system. They needed...
 11  1w    Image            14     0     1  Who enjoys PO matching? It's arduous, leads to bottlenecks, and any matching errors...
 12  2w    Multi-image      98     8     3  Do you know what a sunny Summer day in Vancouver calls for? A team picnic on the...
 13  2w    Image            41     3     0  Before he was a product manager, Yacov Gorovoy was a lawyer. He never coded. When a...
 14  3w    Carousel          7     0     1  20 weeks of AP work, eliminated. Every year. That's what happened when Centerfield...
 15  4w    Image           190     4     3  Tipalti has officially been named to the Inc. 5000 list for nine consecutive years....
 16  1w    Video             3     2     0  The trouble with global growth begins when you add country number 2. Now you have to...
 17  2w    Image             5     2     1  A company needs to pay a supplier in Germany, a creator in Brazil, and a contractor...
 18  2w    Image             4     1     1  Great engineering leadership isn't just about technical expertise; it's about...
 19  2w    Video            12     1     0  When Prodege's partner network grew, so did the operational complexity behind every...
 20  3w    Image            17     0     0  AI is no longer a "someday" conversation in finance. It's a "now" conversation. In...
 21  4w    Video            10     0     0  Hear directly from finance leaders at AG1, Lantern Community Services, and Lendable...
 22  3w    Image           101     5     0  New from the Tipalti Product Team. Most product teams assume you need an...
 23  3w    Image             7     0     0  What does it actually take to build financial infrastructure for a company scaling...
 24  3w    Image             9     0     0  David Fractor, CFO at ImaginAb, has spent seven years building a finance function...
 25  1mo   Multi-image     128     3     2  The Tipalti C-Suite were in Vancouver last week for their executive QBR, and they...
 26  1mo   Text             22     0     2  Tipalti Mass Payments manages the full payout lifecycle in one platform: payee...
 27  3w    Image             7     0     0  Technology alone won't make finance more scalable. The biggest gains come from...
 28  4w    Image            51     1     9  We are thrilled to share that Tipalti has been named to the Inc. 5000 list for the...
 29  2w    Link/Article     31     0     0  Most finance teams using AI today are using it as a faster way to do things they...
 30  1mo   Text              7     0     0  Tipalti Accounts Payable connects the full AP lifecycle in one system: invoice...
 31  3w    Link/Article      1     0     0  In his latest for the Forbes Tech Council, Tipalti CPTO Roby Baruch discusses how AI...
 32  1mo   Carousel         12     0     0  Skillshare has 5 million members and a global network of instructors and influencers...
 33  1mo   Image            52     2     6  I'm excited to share that Tipalti has been named on CNBC's World's Top FinTech...
 34  2mo   Text              6     1     0  A hypothetical about manual processes. A vendor submits the same invoice twice,...
 35  2mo   Text              2     0     0  Ask any finance team that's made the switch to automation what they regret. It's...
 36  2mo   Text             15     0     2  Paying 50 payees is a task. Paying 5,000 requires a system. Tipalti is that system.
 37  1mo   Video             8     0     1  Adding a new country doesn't add one new problem. It adds several at once:...
 38  1mo   Video             7     0     1  81% of organizations say their external partner networks are vital to business...
 39  1mo   Video             8     1     1  Even the best partner programs lose talent when payments are slow, complicated, or...
 40  1mo   Video             6     0     0  The Tipalti team is heading to Minneapolis for the Dynamics Community Summit...
 41  2mo   Multi-image      37     1     1  Today, Tipalti's US offices are closed in observance of Juneteenth - a day that...
 42  2mo   Multi-image      47     2     1  We had a great time at the #WorldFinanceForum in Amsterdam this week. The team...
 43  2mo   Text             10     0     0  Manual payment processes don't scale. They just create more manual payments.
 44  1mo   Video            41     0     1  The finance function is being asked to operate at a higher level. The problem is the...
 45  2mo   Text              3     0     0  At some point, 'this is how we've always done it' stops being a reason and starts...
 46  1mo   Video            24     0     3  NEW RESEARCH: The payout infrastructure gap is costing businesses their top...
 47  2mo   Multi-image      82     6     3  We were proud to sponsor the Spring 2026 CFO Leadership Conference in Boston last...
 48  1mo   Video             9     0     0  We're on the floor at Affiliate Summit East in New York today and tomorrow. If...
 49  3mo   Text              3     0     0  Global payouts shouldn't require a global headache.
 50  1mo   Video             7     0     1  Tipalti is heading to Affiliate Summit East in New York, July 27-28. If your team is...

--------------------------------------------------------------------------------------------------------------
STAMPLI
https://www.linkedin.com/company/stampli/
Posts captured: 50   |   Total reactions: 1388   Comments: 46   Reposts: 382   |   Avg engagement/post: 36.3
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  6d    Image             4     0     0  When leaders have room to grow, their teams can grow with them...
  2  21h   Link/Article     15     0     6  An employee swipes a company card. Another pays out of pocket. Someone submits...
  3  2w    Link/Article     18     2     3  OpenAI published a story last week about how our team at Stampli used ChatGPT for...
  4  1w    Video            44     7    10  Answering a good finance question shouldn't require a costly project. Stampli Deep...
  5  2w    Image            17     0     7  Month-end problems rarely begin at month-end. For Advance...
  6  1w    Video            47     5     5  Business leaders always have questions. They just don't ask all of them because...
  7  1w    Link/Article      4     0     2  In finance, efficiency only matters if you can improve it without giving up control...
  8  2w    Link/Article     26     2    13  Anyone who's launched a product knows the hard part isn't just one thing. When we...
  9  4w    Image            25     0     7  At Quincy Recycle, connecting Procurement and AP brought clarity to daily work and...
 10  3w    Link/Article      3     0     0  An invoice in manufacturing is rarely just that. There's usually a PO, a receipt, a...
 11  2mo   Carousel         32     0    12  Finance teams don't run out of good questions. They run out of practical ways to get...
 12  1mo   Video             0     0     0  "It's allowed basically a one-person team to do the work of a team of four or five."...
 13  2mo   Link/Article     22     1     6  Finance teams don't run out of useful questions. They run out of practical ways to...
 14  1mo   Link/Article     12     0     4  Every vendor relationship carries a set of important commitments. For business...
 15  1mo   Link/Article     19     0     8  From 10 locations to more than 50, America's Group built a finance operation...
 16  1mo   Link/Article     14     0     1  71 locations. 1,000+ monthly invoices. A two-person AP team. For Advance Financial,...
 17  5mo   Multi-image      44     1     5  We had a great time at the Nashville career fair meeting people excited about the...
 18  1mo   Link/Article     11     0     5  Procure-to-pay breaks down fast when teams work across disconnected tools. Stampli...
 19  1mo   Video            63     3     5  I spent ten years as an accountant before I ever touched marketing. So when OpenAI...
 20  4mo   Image            83     8    23  We're about to see the death of the dashboard. Here's why they'll get replaced by...
 21  1mo   Link/Article      6     0     1  Finance leaders do not need a lesson in prompting. They need better data to prompt...
 22  1mo   Image            36     1    14  New software shouldn't take years to deliver value. Stampli has the fastest...
 23  5mo   Video            39     0    22  Ask your agentic financial analyst anything. Get consultant-grade intelligence about...
 24  2mo   Link/Article     13     0     1  What changes when finance teams can analyze data in ways that used to be slow,...
 25  2mo   Link/Article     18     0     6  Accounts Payable is where Procure-to-Pay either works or breaks. In G2's Summer 2026...
 26  2mo   Link/Article     12     1     4  Vendor renewal coming up? A lot can change since the last contract. Spend patterns,...
 27  6mo   Video            25     0    10  "Those little clicks add up. When you're doing that a thousand times a day, it...
 28  2mo   Link/Article     37     1    16  Strong customer feedback on real value for finance teams to create one connected P2P...
 29  2mo   Link/Article     22     1     6  Finance teams don't run out of useful questions. They run out of practical ways to...
 30  2mo   Link/Article      9     0     2  NetSuite 3-way matching often breaks on one missing piece: the item receipt. When...
 31  2mo   Link/Article     17     3     7  ACH risks don't start at the bank portal. They often start earlier. A vendor bank...
 32  5mo   Image             9     0     0  Your team is addicted to corporate card swipes and free trials they forget to...
 33  6mo   Image            11     0     3  Finance professionals paired with the right platform turn complexity into a scalable...
 34  3mo   Link/Article     25     0    11  Built to scale your business, not your headcount. Stampli's AI performs an average...
 35  8mo   Video            25     0    11  Saving time at every step of the P2P process with one unified system built for the...
 36  4mo   Link/Article     11     0     1  Vendor concentration risk is hiding in your AP data. With Stampli Deep Finance, you...
 37  4mo   Multi-image      91     1     5  Day 1 of #SageFuture in the books. Partner day was fantastic. Got to connect with...
 38  9mo   Video            23     0     5  The Ollie team went from hours a day leashing wild invoices to just minutes with...
 39  10mo  Video            14     0     5  Yes... it really is easier than endless approvals hidden in email threads. Not just...
 40  4mo   Link/Article      7     0     2  Budget variance usually doesn't start with one big decision. It builds quietly...
 41  5mo   Link/Article     25     1     6  The data moving through finance systems holds a story that teams never see. Stampli...
 42  5mo   Video            52     2     6  The most valuable signals in finance are buried in places traditional BI can't...
 43  5mo   Video           148     3    21  We're launching something big: an agentic financial analyst you can ask anything....
 44  5mo   Link/Article     46     2    29  Stampli Deep Finance transforms raw finance data into executive spend intelligence....
 45  5mo   Link/Article     14     0     6  Instead of hiring more AP staff with every acquisition, America's Group automated...
 46  5mo   Link/Article     17     0     9  No matter your ERP, Stampli fits right in. For America's Auto Auction, that's...
 47  2mo   Video            11     1     4  Market stories become clearer when they show up in operational spend. Josh...
 48  5mo   Link/Article     17     0     5  Corporate cards don't have to mean losing control of spend. With the right controls,...
 49  6mo   Link/Article     65     0    35  We're grateful for all our customers. Even more grateful for those who share their...
 50  6mo   Link/Article     40     0     7  As finance teams look toward 2026, AI is everywhere, but real impact is uneven. In...

--------------------------------------------------------------------------------------------------------------
STRIPE
https://www.linkedin.com/company/stripe/
Posts captured: 50   |   Total reactions: 19127   Comments: 1445   Reposts: 1318   |   Avg engagement/post: 437.8
--------------------------------------------------------------------------------------------------------------
  #  AGE   TYPE           REAC  COMM   REP  TITLE
  1  17h   Video            75    16    11  Connect Link's wallet for agents to Muse, a new app from Meta that lets you set up...
  2  6d    Video           150    18     4  As the parent company behind Shopee, Garena and Monee, Sea is one of Southeast...
  3  1w    Image           191    40    16  Give your Grok Bot a card with Link. Bots can now buy from any business on the...
  4  2w    Image           193    34     6  Today, I'm excited to announce my book, Built to Grow: A Handbook for...
  5  3w    Link/Article    202     8    18  AI companies are now global by default. The 100 largest AI companies on Stripe by...
  6  1w    Video           250    23    21  We just partnered with Stripe Projects, so you can add Shopify to your app stack....
  7  1w    Video            66    14    12  Payments with Instinct are now powered by Link. Use Instinct to buy from any...
  8  2w    Video           127    16     3  New: analyze your Stripe data with agents. Connect to the Stripe MCP to build custom...
  9  2w    Video           277    20    11  John Collison sits down with Canva cofounder and COO Cliff Obrecht to discuss...
 10  2w    Image          1031    56    81  Tokens are the central currency for companies building with AI. We've agreed to...
 11  3w    Image           210    11    17  Gartner has named Stripe a Leader in the 2026 Gartner Magic Quadrant for Recurring...
 12  3w    Video           335    23    28  "We think of Stripe as having inverted its value proposition. We began as a payments...
 13  1w    Video            48     1     4  Shopify is now available in projects.dev
 14  2w    Link/Article    690    41    45  Revolut is rolling out EURR, its first euro-denominated stablecoin, built with...
 15  1mo   Text            764    42    37  Something wild is happening with Stripe Connect right now. We've added more...
 16  1mo   Link/Article    322    29    33  Earlier this year, Anupam Upadhyay and I set ourselves a new goal: 10x every Stripe...
 17  1mo   Image           597    56    27  There comes a time in every acquisition where you ask yourself 'was this worth it?...
 18  1mo   Image           109    17     7  Businesses often tell me they believe the best way to fight a "product not received"...
 19  1mo   Video           203    52    10  Connect Stripe to Perplexity Computer for Builders. Check revenue, MRR, and churn...
 20  2w    Video           116     7    10  Kraken is launching Krak Cards in the US, powered by Stripe Issuing. Spend crypto...
 21  3w    Video           117     9    16  Amazon Bedrock AgentCore payments now supports Machine Payments Protocol (MPP)...
 22  2mo   Image           130    21    17  Shutdowns among new startups continue to decline. Our one-year shutdown proxy - the...
 23  2mo   Image           219    19    34  Today, we treat respiratory infections like the cold and flu as a minor nuisance....
 24  1mo   Video           224    43    37  New providers on Stripe Projects are available now: Chatbase Composio NodeOps...
 25  1mo   Video           126    20    17  New: templates for Stripe Projects. Generate a working starter app with services...
 26  2mo   Link/Article   3155   349    15  After seven extraordinary years building Stripe's go-to-market engine, I'm stepping...
 27  1mo   Video           311    30    20  "More people will become entrepreneurs with AI. It's never been as easy to test...
 28  2mo   Link/Article    176     6    16  I recently wrote about what I've been working on the past two years, and others have...
 29  2mo   Link/Article     95     7     4  It's a wild time to be building infrastructure. Today we shipped another update to...
 30  4mo   Text            404    28    20  Last week, we announced 288 updates as we build the economic infrastructure for AI.
 31  3mo   Link/Article    110    10     8  Visa made a major change in April with the Digital Commerce Authentication Program...
 32  2mo   Video           174    18    25  Introducing Stripe Directory, a new way for you (and your agents) to search for...
 33  3mo   Image           617    23    19  Stripe Atlas now forms a new company every 12 minutes. (This is one of those down is...
 34  3mo   Image           111     2     6  Across the Stripe network, over 1 in 6 sign-ups at AI companies are linked to...
 35  1mo   Video            25     2     4  We've rolled out improvements to Stripe Directory to make it easier to find the best...
 36  2mo   Video           276    13    17  John Collison sits down with Barney Hussey-Yeo, the founder and CEO of AI financial...
 37  2mo   Video           229    24    36  New providers now available on Stripe Projects: Wix Laravel HeyGen Prisma Automattic...
 38  5mo   Carousel        176    19    21  79% of Gen Z shoppers now prefer digital wallets over other payment methods....
 39  3mo   Image           512    35    19  A massive thank you to Patrick Collison and John Collison for hosting me for their...
 40  4mo   Image           197     5    13  Today, we're proud to announce that Amazon Bedrock AgentCore payments by Amazon Web...
 41  3mo   Video           192    35    16  Starting today, you can set up machine payments with a single prompt to your agent....
 42  3mo   Video            58     4     2  Nat Friedman on temperature probing teams through production iteration loops at...
 43  5mo   Carousel        218    20    21  A future where we buy with AI agents feels inevitable. Making it actually work is...
 44  3mo   Video           335    17    15  Yasser Elsaid on growing Chatbase from ramen profitability to $10M ARR.
 45  5mo   Carousel        118     8    19  From November 2025 to February 2026, our models detected 6.2 times more abusive free...
 46  3mo   Video            71    11     3  Evan Spiegel on how Snapchat broke the model of social media by prioritizing your...
 47  4mo   Link/Article   2527    85   140  We just announced a large raft of improvements at Stripe Sessions. My meta...
 48  4mo   Image           657    21    22  Stripe obsesses over API design. For the Stripe Sessions keynote, we turned our...
 49  6mo   Carousel       1514    31   308  The internet economy is speeding up. Last year, businesses running on Stripe...
 50  4mo   Video            97     6     7  Platform Growth Studio recommends tailored, revenue-boosting optimizations based on...

==============================================================================================================
NOTES
--------------------------------------------------------------------------------------------------------------
- Counts are as displayed by LinkedIn at capture time and change continuously.
- 'AGE' is LinkedIn's relative timestamp (1h, 2d, 3w, 4mo, 1yr) - it is not an exact date.
- Post order follows LinkedIn's own feed order on the Posts tab; it is roughly newest-first
  but reposts and shared content can appear out of sequence (LinkedIn shows the original date).
- 'Carousel' = LinkedIn document/PDF swipe post. 'Multi-image' = native multi-photo post.
- Equisys (39), Qvalia (15) and AMC Banking (22) had fewer than 50 posts available on the tab.
- Emoji and styled (bold/italic unicode) characters have been normalised to plain text.
